service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
A20161106WKD,1,1,1,1,1,0,0,20161106,20171231
A20161106SAT,0,0,0,0,0,1,0,20161106,20171231
A20161106SUN,0,0,0,0,0,0,1,20161106,20171231
B20161106WKD,1,1,1,1,1,0,0,20161106,20171231
B20161106SAT,0,0,0,0,0,1,0,20161106,20171231
B20161106SUN,0,0,0,0,0,0,1,20161106,20171231
R20161106WKD,1,1,1,1,1,0,0,20161106,20171231
R20161106SAT,0,0,0,0,0,1,0,20161106,20171231
R20161106SUN,0,0,0,0,0,0,1,20161106,20171231
S20161106MON,1,0,0,0,0,0,0,20161106,20171231
