route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
GS,A20151206SUN,A20151206SUN_069000_GS.N03R,TIMES SQ - 42 ST,0,,GS.N03R
GS,A20151206SUN,A20151206SUN_069400_GS.S03R,GRAND CENTRAL - 42 ST,1,,GS.S03R
GS,A20151206SUN,A20151206SUN_070000_GS.N03R,TIMES SQ - 42 ST,0,,GS.N03R
GS,A20151206SUN,A20151206SUN_070400_GS.S03R,GRAND CENTRAL - 42 ST,1,,GS.S03R
GS,A20151206SUN,A20151206SUN_071000_GS.N03R,TIMES SQ - 42 ST,0,,GS.N03R
GS,A20151206SUN,A20151206SUN_071400_GS.S03R,GRAND CENTRAL - 42 ST,1,,GS.S03R
GS,A20151206SUN,A20151206SUN_072000_GS.N03R,TIMES SQ - 42 ST,0,,GS.N03R
GS,A20151206SUN,A20151206SUN_072400_GS.S03R,GRAND CENTRAL - 42 ST,1,,GS.S03R
GS,A20151206SUN,A20151206SUN_073000_GS.N03R,TIMES SQ - 42 ST,0,,GS.N03R
GS,A20151206SUN,A20151206SUN_073400_GS.S03R,GRAND CENTRAL - 42 ST,1,,GS.S03R
GS,A20151206SUN,A20151206SUN_074000_GS.N03R,TIMES SQ - 42 ST,0,,GS.N03R
GS,A20151206SUN,A20151206SUN_074400_GS.S03R,GRAND CENTRAL - 42 ST,1,,GS.S03R
GS,A20151206SUN,A20151206SUN_075000_GS.N03R,TIMES SQ - 42 ST,0,,GS.N03R
GS,A20151206SUN,A20151206SUN_075400_GS.S03R,GRAND CENTRAL - 42 ST,1,,GS.S03R
GS,A20151206SUN,A20151206SUN_076000_GS.N03R,TIMES SQ - 42 ST,0,,GS.N03R
GS,A20151206SUN,A20151206SUN_076400_GS.S03R,GRAND CENTRAL - 42 ST,1,,GS.S03R
GS,A20151206SUN,A20151206SUN_077000_GS.N03R,TIMES SQ - 42 ST,0,,GS.N03R
GS,A20151206SUN,A20151206SUN_077400_GS.S03R,GRAND CENTRAL - 42 ST,1,,GS.S03R
GS,A20151206SUN,A20151206SUN_078000_GS.N03R,TIMES SQ - 42 ST,0,,GS.N03R
GS,A20151206SUN,A20151206SUN_078400_GS.S03R,GRAND CENTRAL - 42 ST,1,,GS.S03R
GS,A20151206SUN,A20151206SUN_079000_GS.N03R,TIMES SQ - 42 ST,0,,GS.N03R
GS,A20151206SUN,A20151206SUN_079400_GS.S03R,GRAND CENTRAL - 42 ST,1,,GS.S03R
GS,A20151206SUN,A20151206SUN_080000_GS.N03R,TIMES SQ - 42 ST,0,,GS.N03R
GS,A20151206SUN,A20151206SUN_080400_GS.S03R,GRAND CENTRAL - 42 ST,1,,GS.S03R
GS,A20151206SUN,A20151206SUN_081000_GS.N03R,TIMES SQ - 42 ST,0,,GS.N03R
GS,A20151206SUN,A20151206SUN_081400_GS.S03R,GRAND CENTRAL - 42 ST,1,,GS.S03R
GS,A20151206SUN,A20151206SUN_082000_GS.N03R,TIMES SQ - 42 ST,0,,GS.N03R
GS,A20151206SUN,A20151206SUN_082400_GS.S03R,GRAND CENTRAL - 42 ST,1,,GS.S03R
GS,A20151206SUN,A20151206SUN_083000_GS.N03R,TIMES SQ - 42 ST,0,,GS.N03R
GS,A20151206SUN,A20151206SUN_083400_GS.S03R,GRAND CENTRAL - 42 ST,1,,GS.S03R
GS,A20151206SUN,A20151206SUN_084000_GS.N03R,TIMES SQ - 42 ST,0,,GS.N03R
GS,A20151206SUN,A20151206SUN_084400_GS.S03R,GRAND CENTRAL - 42 ST,1,,GS.S03R
GS,A20151206SUN,A20151206SUN_085000_GS.N03R,TIMES SQ - 42 ST,0,,GS.N03R
GS,A20151206SUN,A20151206SUN_085400_GS.S03R,GRAND CENTRAL - 42 ST,1,,GS.S03R
GS,A20151206SUN,A20151206SUN_086000_GS.N03R,TIMES SQ - 42 ST,0,,GS.N03R
GS,A20151206SUN,A20151206SUN_086400_GS.S03R,GRAND CENTRAL - 42 ST,1,,GS.S03R
GS,A20151206SUN,A20151206SUN_087000_GS.N03R,TIMES SQ - 42 ST,0,,GS.N03R
GS,A20151206SUN,A20151206SUN_087400_GS.S03R,GRAND CENTRAL - 42 ST,1,,GS.S03R
GS,A20151206SUN,A20151206SUN_088000_GS.N03R,TIMES SQ - 42 ST,0,,GS.N03R
GS,A20151206SUN,A20151206SUN_088400_GS.S03R,GRAND CENTRAL - 42 ST,1,,GS.S03R
GS,A20151206SUN,A20151206SUN_089000_GS.N03R,TIMES SQ - 42 ST,0,,GS.N03R
GS,A20151206SUN,A20151206SUN_089400_GS.S03R,GRAND CENTRAL - 42 ST,1,,GS.S03R
GS,A20151206SUN,A20151206SUN_090000_GS.N03R,TIMES SQ - 42 ST,0,,GS.N03R
GS,A20151206SUN,A20151206SUN_090400_GS.S03R,GRAND CENTRAL - 42 ST,1,,GS.S03R
GS,A20151206SUN,A20151206SUN_091000_GS.N03R,TIMES SQ - 42 ST,0,,GS.N03R
